Word,Count
for,70
the,64
size,33
font,32
Fixed,32
text,26
accounts,23
name,20
null,19
White,19
to,18
Header,17
and,17
invoice,17
details,17
Fallback,16
background,15
Tab,15
field,15
\),\,14
Search,14
selected,14
Handle,14
error,13
Bar,12
Match,12
response,12
list,12
Table,11
Index,11
screen,11
Section,11
a,11
Items,10
primary,10
Store,10
Print,10
Grey,10
Dark,10
API,10
Cubit,10
of,10
Warehouse,10
account,9
product,9
Debug:,9
Add,9
section,9
Blue,9
first,9
when,9
all,8
if,8
search,8
Emit,8
or,8
button,7
Rounded,7
=,7
corners,7
padding,7
Reset,7
secondary,7
border,7
Invoice,6
icon,6
child,6
grey,6
Details,6
Supplier,6
with,6
Black,6
an,6
Keep,6
{,6
List,6
1,6
borderSide:,6
BorderSide(color:,6
Divider,6
\Colors.white),\,6
table,6
Content,6
content,6
in,6
Tabs,6
separately,6
OutlineInputBorder(,6
Get,5
wrapped,5
your,5
responses,5
Info,5
query,5
screen's,5
tiles,5
0,5
Notes,5
after,5
filteredProducts,5
is,5
widget,5
empty,5
Total,5
Permissions,5
headers,5
=>,4
value:,4
totals,4
be,4
blue,4
color,4
both,4
Import,4
(matches,4
},4
by,4
method,4
(primary,4
direct,4
Login,4
Light,4
selection,4
get,4
as,4
status,4
needed,4
screen),4
child:,4
!=,4
TextStyle(color:,4
Product,4
app,4
Use,3
previous,3
Accounts,3
spacing,3
can,3
dialog,3
Assuming,3
more,3
2,3
bar,3
original,3
Payments,3
ProductDetailEntity,3
hint,3
\category,\,3
Purchase,3
//,3
statement,3
Assets,3
Permission,3
here,3
✅,3
searching,3
focused,3
our,3
fetched,3
update,3
fetching,3
assets,3
Revert,3
network,3
build,3
Helper,3
Extract,3
state,3
Clear,3
(assets),3
Trigger,3
'data',3
(Items),3
accounts),3
Simulate,3
Nullable,3
animation,3
case,3
States,3
array,3
token,3
Close,3
logic,3
Debug,3
tile,3
{...},3
Journal,3
Fetch,3
indicator,3
showing,3
Rows,3
only,3
entries,3
Filter,3
that,3
loading,3
Text(,2
\Unpaid,\,2
return,2
Additional,2
Future<bool>,2
use,2
value);,2
object,2
tap,2
Convert,2
line,2
Show,2
&&,2
Partially,2
ProductRepository,2
Multi-account,2
Build,2
Responsive,2
\Paid,\,2
info,2
you,2
counter,2
\Color.fromARGB(255,\,2
drawer,2
Adjust,2
subtitle,2
product.name;,2
enabledBorder:,2
decoration:,2
labelStyle:,2
bank,2
onChanged:,2
Check,2
on,2
delay,2
frame,2
main,2
this,2
For,2
trigger,2
labelText:,2
entity,2
populated,2
focusedBorder:,2
screens,2
parent,2
dropdownColor:,2
\.toList(),\,2
Verify,2
item,2
look,2
style:,2
Implement,2
items:,2
Entry,2
border:,2
LoginSubmitted,2
\1,\,2
collapsed,2
inside,2
==,2
.where((product),2
Filters,2
card,2
account),2
tabs,2
handler,2
Invoices,2
\60),\,2
JSON,2
.toList();,2
\18,\,2
Perfect,2
style,2
\0,\,2
Expanded(,2
margin,2
back,2
filtered,2
Placeholder,2
\28,\,2
)),2
InputDecoration(,2
secondary),2
\Colors.grey[400]),\,2
Swipe,2
Basic,2
DropdownMenuItem(,2
final,2
\},\,2
Service,2
(value),2
\['All',\,2
horizontal,2
Paid,2
page),2
Displays,2
'Category,2
'All'),2
out,2
\Colors.grey[400]!),\,2
DropdownButtonFormField<String>(,2
text:,2
title,2
category,2
\status,\,2
show,2
Number,2
WidgetTester,2
functionality,2
AppBar,2
Bold,2
default,2
detail,2
shadow,2
-,2
items,2
Will,2
description,2
vertical,2
Description,2
navigate,2
Module,2
Remove,2
between,2
\'All',\,2
Entries,2
product.status,1
interaction,1
any,1
context.read<ProductCubit>().filterProducts(status:,1
erpdevelopment.runasp.net/Api/Purchase/Supplier/List');,1
6:,1
case-insensitive,1
(if,1
message,1
at,1
productId,1
Stock,1
(for,1
\duration,\,1
Bloc,1
gestures,1
Duration,1
lib/features/auth/logic/splash_cubit.dart,1
Hide,1
Customer,1
real,1
based,1
0:,1
specific,1
\4),\,1
print('Product,1
totalPages:,1
values,1
.map((category),1
\primary,\,1
\erpdevelopment.runasp.net/Api/sales/invoice/list'),\,1
\example,\,1
Register,1
5:,1
void,1
\16),\,1
Refresh,1
currentPage:,1
fetchProductById,1
Decode,1
Password,1
Nested,1
id),1
lib/features/auth/widgets/custom_textbox.dart,1
