File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\ERP\erp\lib\main.dart,134,122,45,1,4,1,8,21,0,0
E:\ERP\erp\lib\Core\network\api_client.dart,7,6,4,0,1,1,0,1,0,0
E:\ERP\erp\lib\Core\widgets\custom_button.dart,33,28,8,1,4,1,1,3,1,1
E:\ERP\erp\lib\Core\widgets\custom_textbox.dart,45,40,10,1,4,3,1,8,1,1
E:\ERP\erp\lib\Core\widgets\rout_observer.dart,4,2,2,0,2,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\token.dart,5,4,2,0,1,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\accounts\accounts.dart,38,35,13,1,3,4,0,16,0,0
E:\ERP\erp\lib\features\auth\data\entities\accounts\daily.dart,26,23,10,1,3,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\accounts\dailyitem.dart,37,35,14,1,2,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\clients\clients.dart,267,247,94,6,19,1,1,7,1,1
E:\ERP\erp\lib\features\auth\data\entities\finanse\banks_entity.dart,274,261,79,8,11,4,2,18,1,1
E:\ERP\erp\lib\features\auth\data\entities\finanse\expenses_entity.dart,121,112,43,3,9,6,0,12,0,0
E:\ERP\erp\lib\features\auth\data\entities\finanse\recipt_entity.dart,117,108,42,3,9,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\purchase\debit_note.dart,68,63,25,2,5,1,0,4,0,0
E:\ERP\erp\lib\features\auth\data\entities\purchase\purchasereturn.dart,102,93,36,3,9,1,0,3,0,0
E:\ERP\erp\lib\features\auth\data\entities\purchase\purchase_invoices.dart,100,91,36,3,9,1,0,4,0,0
E:\ERP\erp\lib\features\auth\data\entities\purchase\supplier.dart,250,231,89,6,18,0,1,5,0,0
E:\ERP\erp\lib\features\auth\data\entities\sales\quotation_entity.dart,98,89,43,5,9,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\sales\recuringinvoice_entity.dart,94,89,33,3,5,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\sales\salesInvoice_entity.dart,124,116,43,5,8,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\stock\prdouct.dart,107,101,36,2,6,23,0,96,0,0
E:\ERP\erp\lib\features\auth\data\entities\stock\product_response.dart,41,38,15,1,3,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\stock\warehouse.dart,15,14,8,0,1,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\stock\warehouse_permesion.dart,16,14,8,0,2,1,0,3,0,0
E:\ERP\erp\lib\features\auth\data\repos\accounts\accounts_repo.dart,76,61,45,7,9,4,6,47,0,0
E:\ERP\erp\lib\features\auth\data\repos\accounts\daily.dart,41,31,21,3,7,0,3,20,0,0
E:\ERP\erp\lib\features\auth\data\repos\clients\clients_repo.dart,101,88,57,12,11,4,2,18,0,0
E:\ERP\erp\lib\features\auth\data\repos\finance\banks_repo.dart,72,58,40,8,8,2,6,39,0,0
E:\ERP\erp\lib\features\auth\data\repos\finance\expencses_repo.dart,63,55,37,6,7,3,1,13,0,0
E:\ERP\erp\lib\features\auth\data\repos\finance\recipt_repo.dart,61,54,37,6,7,2,0,2,0,0
E:\ERP\erp\lib\features\auth\data\repos\purchase\debitnote_repo.dart,64,55,32,4,9,3,0,4,0,0
E:\ERP\erp\lib\features\auth\data\repos\purchase\purchaserefund_repo.dart,65,56,33,4,9,3,0,4,0,0
E:\ERP\erp\lib\features\auth\data\repos\purchase\purchase_repo.dart,64,55,32,4,9,3,0,4,0,0
E:\ERP\erp\lib\features\auth\data\repos\purchase\supplier_repo.dart,72,63,43,6,9,2,0,2,0,0
E:\ERP\erp\lib\features\auth\data\repos\sales\quotation_repo.dart,60,55,38,6,5,2,0,2,0,0
E:\ERP\erp\lib\features\auth\data\repos\sales\recuringinvoices_repo.dart,60,55,38,6,5,2,0,2,0,0
E:\ERP\erp\lib\features\auth\data\repos\sales\salesInvoices_repo.dart,62,55,38,6,7,2,0,2,0,0
E:\ERP\erp\lib\features\auth\data\repos\stock\product_repo.dart,68,58,41,5,10,5,0,13,0,0
E:\ERP\erp\lib\features\auth\data\repos\stock\warehouse_permesions.dart,24,22,5,1,1,1,1,7,0,0
E:\ERP\erp\lib\features\auth\data\repos\stock\warehouse_repo.dart,18,15,5,1,2,1,1,8,0,0
E:\ERP\erp\lib\features\auth\logic\login_bloc.dart,70,49,34,1,15,0,6,20,0,0
E:\ERP\erp\lib\features\auth\logic\splash_cubit.dart,12,8,6,0,3,1,1,4,1,1
