Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,83,11959,10756,3773,632,894,293,309,2035,12,65
E:\ERP\erp,83,11959,10756,3773,632,894,293,309,2035,12,65
E:\ERP\erp\lib,82,11928,10742,3760,632,887,293,299,1948,6,6
E:\ERP\erp\lib\Core,4,89,76,24,2,11,5,2,12,2,2
E:\ERP\erp\lib\Core\network,1,7,6,4,0,1,1,0,1,0,0
E:\ERP\erp\lib\Core\widgets,3,82,70,20,2,10,4,2,11,2,2
E:\ERP\erp\lib\features,77,11705,10544,3691,629,872,287,289,1915,4,4
E:\ERP\erp\lib\features\auth,77,11705,10544,3691,629,872,287,289,1915,4,4
E:\ERP\erp\lib\features\auth\data,35,2871,2600,1211,138,247,81,24,355,2,2
E:\ERP\erp\lib\features\auth\data\entities,18,1895,1760,667,53,131,42,4,168,2,2
E:\ERP\erp\lib\features\auth\data\entities\accounts,3,101,93,37,3,8,4,0,16,0,0
E:\ERP\erp\lib\features\auth\data\entities\clients,1,267,247,94,6,19,1,1,7,1,1
E:\ERP\erp\lib\features\auth\data\entities\finanse,3,512,481,164,14,29,10,2,30,1,1
E:\ERP\erp\lib\features\auth\data\entities\purchase,4,520,478,186,14,41,3,1,16,0,0
E:\ERP\erp\lib\features\auth\data\entities\sales,3,316,294,119,13,22,0,0,0,0,0
E:\ERP\erp\lib\features\auth\data\entities\stock,4,179,167,67,3,12,24,0,99,0,0
E:\ERP\erp\lib\features\auth\data\repos,16,971,836,542,85,115,39,20,187,0,0
E:\ERP\erp\lib\features\auth\data\repos\accounts,2,117,92,66,10,16,4,9,67,0,0
E:\ERP\erp\lib\features\auth\data\repos\clients,1,101,88,57,12,11,4,2,18,0,0
E:\ERP\erp\lib\features\auth\data\repos\finance,3,196,167,114,20,22,7,7,54,0,0
E:\ERP\erp\lib\features\auth\data\repos\purchase,4,265,229,140,18,36,11,0,14,0,0
E:\ERP\erp\lib\features\auth\data\repos\sales,3,182,165,114,18,17,6,0,6,0,0
E:\ERP\erp\lib\features\auth\data\repos\stock,3,110,95,51,7,13,7,2,28,0,0
E:\ERP\erp\lib\features\auth\logic,19,2622,2166,1393,172,388,47,68,518,1,1
E:\ERP\erp\lib\features\auth\logic\accounts,3,148,115,83,4,23,16,10,162,0,0
E:\ERP\erp\lib\features\auth\logic\clients,1,238,201,130,18,37,2,0,11,0,0
E:\ERP\erp\lib\features\auth\logic\finance,3,506,436,262,40,68,2,2,17,0,0
E:\ERP\erp\lib\features\auth\logic\purchase,4,583,498,318,38,77,22,8,128,0,0
E:\ERP\erp\lib\features\auth\logic\sales,3,797,668,436,63,121,2,8,59,0,0
E:\ERP\erp\lib\features\auth\logic\stock,3,268,191,124,8,44,2,33,117,0,0
E:\ERP\erp\lib\features\auth\presentation,23,6212,5778,1087,319,237,159,197,1042,1,1
E:\ERP\erp\lib\features\auth\presentation\accounts,4,474,443,98,33,24,81,7,284,0,0
E:\ERP\erp\lib\features\auth\presentation\clients,1,365,348,65,22,13,0,4,5,1,1
E:\ERP\erp\lib\features\auth\presentation\finance,3,1170,1106,208,79,51,3,13,45,0,0
E:\ERP\erp\lib\features\auth\presentation\purchase,4,1859,1758,282,78,59,43,42,291,0,0
E:\ERP\erp\lib\features\auth\presentation\sales,3,1080,1021,208,53,39,1,20,38,0,0
E:\ERP\erp\lib\features\auth\presentation\stock,5,816,690,140,44,26,14,100,266,0,0
E:\ERP\erp\test,1,31,14,13,0,7,0,10,87,6,59
